EmployeeNumber,Department,MonthlyIncome,JobSatisfaction,OverTime,attrition_risk_level
163,Sales,6172,3,Yes,MEDIUM RISK
164,Research & Development,2368,2,No,LOW RISK
165,Research & Development,10312,4,No,MEDIUM RISK
167,Sales,1675,3,Yes,MEDIUM RISK
169,Research & Development,2523,4,No,LOW RISK
170,Research & Development,6567,1,No,LOW RISK
171,Research & Development,4739,3,No,MEDIUM RISK
174,Sales,9208,4,No,LOW RISK
175,Sales,4559,3,Yes,MEDIUM RISK
176,Sales,8189,3,Yes,MEDIUM RISK
177,Human Resources,2942,3,No,MEDIUM RISK
178,Research & Development,4941,2,No,LOW RISK
179,Research & Development,10650,4,No,LOW RISK
182,Sales,5902,3,No,MEDIUM RISK
183,Sales,8639,3,No,MEDIUM RISK
184,Human Resources,6347,4,Yes,LOW RISK
190,Research & Development,4200,1,No,LOW RISK
192,Research & Development,3452,4,No,MEDIUM RISK
193,Research & Development,4317,3,Yes,MEDIUM RISK
194,Research & Development,2632,3,No,MEDIUM RISK
195,Sales,4668,4,No,LOW RISK
197,Research & Development,3204,1,No,LOW RISK
198,Research & Development,2720,4,No,LOW RISK
199,Research & Development,17181,1,No,LOW RISK
200,Research & Development,2238,1,No,LOW RISK
201,Research & Development,1483,2,No,LOW RISK
202,Research & Development,5605,2,No,MEDIUM RISK
204,Sales,7295,2,No,LOW RISK
205,Sales,2306,3,Yes,MEDIUM RISK
206,Research & Development,2348,2,No,LOW RISK
207,Sales,8998,4,No,LOW RISK
208,Research & Development,4319,3,No,MEDIUM RISK
211,Research & Development,6132,3,No,MEDIUM RISK
214,Research & Development,3346,2,Yes,HIGH RISK
215,Sales,10855,4,No,LOW RISK
216,Sales,2231,3,No,MEDIUM RISK
217,Research & Development,2323,4,No,LOW RISK
218,Research & Development,2024,2,No,LOW RISK
221,Research & Development,2713,4,No,MEDIUM RISK
223,Research & Development,9439,4,Yes,MEDIUM RISK
224,Research & Development,2566,3,Yes,MEDIUM RISK
226,Research & Development,19926,2,No,LOW RISK
227,Research & Development,2451,3,No,MEDIUM RISK
228,Sales,9419,4,No,LOW RISK
230,Sales,8686,4,No,LOW RISK
231,Research & Development,3038,3,No,MEDIUM RISK
233,Research & Development,3058,2,Yes,HIGH RISK
235,Sales,2325,1,No,LOW RISK
238,Research & Development,2088,2,No,LOW RISK
239,Research & Development,3072,1,No,LOW RISK
240,Sales,5006,1,Yes,LOW RISK
241,Research & Development,4257,1,Yes,HIGH RISK
242,Research & Development,2500,4,No,LOW RISK
243,Research & Development,1102,4,No,LOW RISK
244,Sales,10453,1,No,LOW RISK
245,Research & Development,2288,4,No,LOW RISK
246,Research & Development,3929,4,Yes,LOW RISK
247,Research & Development,2311,2,No,MEDIUM RISK
248,Sales,3140,2,Yes,HIGH RISK
249,Research & Development,3690,3,No,MEDIUM RISK
250,Research & Development,4450,1,No,LOW RISK
252,Research & Development,2756,2,No,LOW RISK
253,Research & Development,19033,3,No,MEDIUM RISK
254,Research & Development,18722,2,No,LOW RISK
256,Research & Development,9547,3,No,MEDIUM RISK
258,Research & Development,13734,2,No,LOW RISK
259,Research & Development,19999,3,No,MEDIUM RISK
260,Research & Development,2279,2,No,LOW RISK
261,Research & Development,5916,3,Yes,MEDIUM RISK
262,Research & Development,2089,4,No,LOW RISK
264,Research & Development,16792,4,No,LOW RISK
267,Research & Development,3564,1,Yes,HIGH RISK
269,Research & Development,4425,2,No,LOW RISK
270,Research & Development,5265,3,No,MEDIUM RISK
271,Research & Development,6553,3,No,MEDIUM RISK
273,Research & Development,6261,4,No,MEDIUM RISK
274,Research & Development,4298,1,No,LOW RISK
275,Research & Development,6804,4,Yes,LOW RISK
277,Research & Development,3815,3,Yes,MEDIUM RISK
281,Research & Development,2741,4,Yes,LOW RISK
282,Research & Development,6673,1,Yes,MEDIUM RISK
283,Sales,7639,4,No,MEDIUM RISK
284,Research & Development,2328,2,Yes,HIGH RISK
286,Research & Development,2153,4,No,LOW RISK
287,Research & Development,4876,4,No,LOW RISK
288,Research & Development,9396,1,No,LOW RISK
291,Sales,10400,4,No,LOW RISK
292,Research & Development,8474,3,No,MEDIUM RISK
293,Sales,9981,3,No,MEDIUM RISK
296,Research & Development,12490,2,No,LOW RISK
297,Research & Development,2657,1,Yes,HIGH RISK
298,Sales,13591,4,Yes,LOW RISK
299,Sales,6696,1,No,MEDIUM RISK
300,Research & Development,2058,3,No,MEDIUM RISK
302,Sales,8865,4,No,LOW RISK
303,Sales,5940,1,No,LOW RISK
304,Research & Development,5914,2,No,LOW RISK
305,Research & Development,2622,2,No,LOW RISK
306,Research & Development,12185,4,Yes,LOW RISK
307,Sales,10609,3,No,MEDIUM RISK
308,Research & Development,4345,3,No,MEDIUM RISK
309,Research & Development,2177,4,No,LOW RISK
311,Sales,2793,4,No,LOW RISK
312,Sales,7918,4,No,LOW RISK
314,Sales,8789,3,No,MEDIUM RISK
315,Research & Development,2389,4,Yes,LOW RISK
316,Research & Development,3212,4,No,LOW RISK
319,Research & Development,19232,4,No,LOW RISK
321,Human Resources,2267,3,No,MEDIUM RISK
323,Sales,19517,4,No,LOW RISK
325,Research & Development,2436,4,Yes,LOW RISK
327,Sales,16064,4,Yes,LOW RISK
328,Research & Development,2707,1,No,LOW RISK
329,Sales,19068,3,Yes,MEDIUM RISK
330,Sales,3931,2,No,LOW RISK
331,Research & Development,3730,3,Yes,MEDIUM RISK
332,Research & Development,2232,3,No,MEDIUM RISK
333,Sales,4465,4,No,MEDIUM RISK
334,Research & Development,3072,1,No,LOW RISK
335,Research & Development,3319,4,No,MEDIUM RISK
336,Research & Development,19202,4,No,LOW RISK
337,Research & Development,13675,3,No,MEDIUM RISK
338,Research & Development,2911,4,No,LOW RISK
339,Research & Development,5957,1,No,LOW RISK
340,Research & Development,3920,1,No,LOW RISK
341,Research & Development,6434,3,No,MEDIUM RISK
342,Research & Development,10048,3,No,MEDIUM RISK
343,Research & Development,10938,3,No,MEDIUM RISK
346,Research & Development,2340,4,No,LOW RISK
347,Research & Development,6545,1,Yes,LOW RISK
349,Sales,6931,4,No,LOW RISK
350,Research & Development,4898,3,No,MEDIUM RISK
351,Research & Development,2593,1,Yes,HIGH RISK
352,Research & Development,19436,3,No,MEDIUM RISK
353,Research & Development,2723,4,No,LOW RISK
355,Research & Development,3479,2,No,MEDIUM RISK
359,Research & Development,2794,2,No,LOW RISK
361,Sales,5249,4,No,LOW RISK
362,Research & Development,2176,1,No,LOW RISK
363,Sales,16872,2,Yes,LOW RISK
364,Research & Development,3485,3,No,MEDIUM RISK
366,Sales,6644,2,No,LOW RISK
367,Research & Development,5582,4,No,MEDIUM RISK
369,Research & Development,4000,1,No,LOW RISK
372,Research & Development,13496,4,Yes,LOW RISK
373,Research & Development,3210,4,No,LOW RISK
374,Research & Development,19045,1,Yes,LOW RISK
376,Research & Development,11849,2,Yes,MEDIUM RISK
377,Research & Development,2070,4,No,LOW RISK
378,Sales,6502,4,No,LOW RISK
379,Research & Development,3230,3,No,MEDIUM RISK
380,Research & Development,13603,4,Yes,LOW RISK
381,Research & Development,11996,2,No,MEDIUM RISK
382,Sales,5605,1,Yes,LOW RISK
384,Research & Development,6397,2,No,LOW RISK
385,Research & Development,19144,2,No,LOW RISK
386,Research & Development,17584,3,Yes,MEDIUM RISK
387,Sales,4907,3,No,MEDIUM RISK
388,Sales,4554,4,No,LOW RISK
389,Research & Development,5415,4,Yes,LOW RISK
390,Research & Development,4741,1,Yes,HIGH RISK
391,Research & Development,2115,4,No,LOW RISK
392,Research & Development,3161,3,Yes,MEDIUM RISK
393,Research & Development,5745,4,No,MEDIUM RISK
394,Research & Development,2373,2,Yes,HIGH RISK
395,Research & Development,3310,4,No,LOW RISK
396,Research & Development,18665,1,Yes,LOW RISK
397,Research & Development,4485,2,No,LOW RISK
399,Sales,2789,2,No,LOW RISK
401,Sales,5828,4,Yes,LOW RISK
403,Research & Development,2326,4,Yes,LOW RISK
404,Sales,13525,2,No,MEDIUM RISK
405,Research & Development,1420,3,No,MEDIUM RISK
406,Sales,8020,2,No,LOW RISK
407,Research & Development,3688,4,No,LOW RISK
408,Research & Development,5482,2,No,LOW RISK
410,Sales,16015,2,No,LOW RISK
411,Sales,1200,3,No,MEDIUM RISK
412,Research & Development,5661,1,No,LOW RISK
416,Sales,6929,4,No,LOW RISK
417,Research & Development,9613,4,No,LOW RISK
419,Research & Development,5674,2,No,MEDIUM RISK
420,Sales,5484,3,No,MEDIUM RISK
421,Research & Development,12061,2,No,MEDIUM RISK
422,Research & Development,5660,3,Yes,MEDIUM RISK
423,Research & Development,4821,4,Yes,LOW RISK
424,Human Resources,6410,1,No,LOW RISK
425,Research & Development,5210,1,No,LOW RISK
426,Research & Development,2695,4,Yes,LOW RISK
428,Research & Development,11878,2,No,LOW RISK
429,Research & Development,17068,1,Yes,LOW RISK
430,Research & Development,2455,4,No,LOW RISK
431,Research & Development,13964,3,Yes,MEDIUM RISK
433,Research & Development,4941,2,No,LOW RISK
434,Research & Development,2478,2,Yes,HIGH RISK
436,Sales,5228,2,Yes,LOW RISK
437,Sales,4478,3,Yes,MEDIUM RISK
438,Sales,7547,4,No,LOW RISK
439,Research & Development,5055,4,No,LOW RISK
440,Research & Development,3464,4,Yes,LOW RISK
441,Research & Development,5775,4,No,MEDIUM RISK
442,Research & Development,8943,3,No,MEDIUM RISK
444,Research & Development,19272,4,No,LOW RISK
445,Sales,5238,3,Yes,MEDIUM RISK
446,Sales,4682,4,No,LOW RISK
447,Research & Development,18300,3,No,MEDIUM RISK
448,Research & Development,5257,3,No,MEDIUM RISK
449,Sales,6349,2,Yes,LOW RISK
450,Research & Development,4869,3,No,MEDIUM RISK
451,Research & Development,9985,1,No,LOW RISK
452,Research & Development,3697,4,No,LOW RISK
453,Sales,7457,4,Yes,LOW RISK
454,Research & Development,2119,1,Yes,HIGH RISK
455,Research & Development,3983,4,No,LOW RISK
456,Sales,6118,3,No,MEDIUM RISK
458,Sales,6214,2,No,LOW RISK
460,Research & Development,6347,4,No,LOW RISK
461,Research & Development,11510,4,Yes,LOW RISK
462,Research & Development,7143,4,Yes,LOW RISK
463,Sales,8268,2,Yes,LOW RISK
464,Research & Development,8095,2,No,LOW RISK
465,Research & Development,2904,4,No,MEDIUM RISK
466,Research & Development,6032,2,Yes,LOW RISK
467,Sales,2976,3,No,MEDIUM RISK
468,Research & Development,15992,4,No,MEDIUM RISK
469,Sales,4649,3,No,MEDIUM RISK
470,Human Resources,2696,3,Yes,MEDIUM RISK
471,Research & Development,2370,2,No,LOW RISK
473,Sales,12504,3,No,MEDIUM RISK
474,Research & Development,5974,1,Yes,LOW RISK
475,Sales,4736,3,Yes,MEDIUM RISK
476,Sales,5296,3,No,MEDIUM RISK
477,Research & Development,6781,4,No,LOW RISK
478,Sales,2174,2,Yes,HIGH RISK
479,Sales,6653,4,No,LOW RISK
481,Sales,9699,4,No,LOW RISK
482,Research & Development,6755,3,No,MEDIUM RISK
483,Research & Development,2213,3,Yes,MEDIUM RISK
484,Sales,2610,4,No,LOW RISK
485,Sales,2851,3,Yes,MEDIUM RISK
486,Research & Development,3452,1,No,LOW RISK
487,Research & Development,5258,3,No,MEDIUM RISK
488,Sales,9355,2,No,LOW RISK
491,Research & Development,10496,4,No,LOW RISK
492,Sales,6380,3,Yes,MEDIUM RISK
493,Research & Development,2657,2,Yes,HIGH RISK
494,Sales,2716,2,No,LOW RISK
495,Research & Development,2201,4,No,MEDIUM RISK
496,Research & Development,6540,2,No,LOW RISK
497,Research & Development,3816,2,No,LOW RISK
498,Sales,5253,4,No,LOW RISK
499,Research & Development,10965,3,No,MEDIUM RISK
500,Sales,4936,4,No,LOW RISK
501,Research & Development,2543,3,No,MEDIUM RISK
502,Sales,5304,4,Yes,LOW RISK
505,Research & Development,16659,4,Yes,LOW RISK
507,Sales,4260,3,Yes,MEDIUM RISK
508,Sales,2476,2,No,LOW RISK
510,Research & Development,3102,1,No,LOW RISK
511,Research & Development,2244,2,No,LOW RISK
513,Sales,7596,3,No,MEDIUM RISK
514,Research & Development,2285,4,Yes,LOW RISK
515,Research & Development,3034,1,No,LOW RISK
516,Sales,5715,2,No,LOW RISK
517,Research & Development,2576,1,No,LOW RISK
518,Research & Development,4197,2,Yes,HIGH RISK
520,Research & Development,14336,2,No,LOW RISK
521,Research & Development,3448,3,No,MEDIUM RISK
522,Research & Development,19406,1,No,LOW RISK
523,Sales,6538,3,No,MEDIUM RISK
524,Research & Development,4306,1,No,LOW RISK
525,Research & Development,2258,4,No,MEDIUM RISK
526,Research & Development,4522,3,Yes,MEDIUM RISK
527,Sales,4487,4,Yes,LOW RISK
529,Research & Development,4449,3,Yes,MEDIUM RISK
530,Research & Development,2218,1,No,LOW RISK
531,Research & Development,19197,3,Yes,MEDIUM RISK
532,Sales,13212,1,No,LOW RISK
533,Sales,6577,3,No,MEDIUM RISK
534,Sales,8392,1,No,LOW RISK
536,Research & Development,4558,1,No,LOW RISK
538,Research & Development,4031,1,No,LOW RISK
543,Research & Development,7969,3,Yes,MEDIUM RISK
544,Research & Development,2654,4,No,LOW RISK
546,Research & Development,16555,4,No,LOW RISK
547,Research & Development,4556,3,No,MEDIUM RISK
548,Research & Development,6091,4,No,LOW RISK
549,Research & Development,19566,1,No,LOW RISK
550,Research & Development,4810,3,No,MEDIUM RISK
551,Research & Development,4523,4,No,MEDIUM RISK
554,Sales,3202,2,Yes,HIGH RISK
555,Sales,2351,3,No,MEDIUM RISK
556,Research & Development,1702,4,Yes,LOW RISK
558,Sales,18041,3,No,MEDIUM RISK
560,Research & Development,2886,4,No,MEDIUM RISK
562,Research & Development,2097,4,No,LOW RISK
564,Research & Development,11935,3,No,MEDIUM RISK
565,Research & Development,2546,2,No,MEDIUM RISK
566,Human Resources,2564,4,No,LOW RISK
567,Sales,8412,1,No,MEDIUM RISK
568,Sales,14118,4,No,MEDIUM RISK
569,Research & Development,17046,3,No,MEDIUM RISK
571,Research & Development,2564,4,No,LOW RISK
573,Sales,10266,1,No,MEDIUM RISK
574,Research & Development,5070,4,No,LOW RISK
575,Research & Development,17861,3,No,MEDIUM RISK
577,Research & Development,4230,3,No,MEDIUM RISK
578,Research & Development,3780,3,No,MEDIUM RISK
579,Research & Development,2768,3,No,MEDIUM RISK
580,Sales,9071,4,Yes,LOW RISK
581,Research & Development,10648,2,No,LOW RISK
582,Research & Development,13610,3,Yes,MEDIUM RISK
584,Research & Development,3408,4,No,LOW RISK
585,Sales,2983,2,No,LOW RISK
586,Research & Development,7632,3,Yes,MEDIUM RISK
587,Research & Development,9824,3,No,MEDIUM RISK
590,Human Resources,9950,1,Yes,MEDIUM RISK
591,Research & Development,2093,3,No,MEDIUM RISK
592,Sales,9980,4,No,LOW RISK
593,Research & Development,3894,3,No,MEDIUM RISK
595,Sales,4051,4,No,LOW RISK
597,Sales,16835,2,No,LOW RISK
599,Sales,6230,4,No,LOW RISK
600,Sales,4717,3,No,MEDIUM RISK
601,Research & Development,13237,3,No,MEDIUM RISK
602,Research & Development,3755,3,No,MEDIUM RISK
604,Sales,6582,4,Yes,LOW RISK
605,Research & Development,7406,1,Yes,MEDIUM RISK
606,Sales,4805,2,No,LOW RISK
608,Human Resources,2741,3,Yes,MEDIUM RISK
611,Research & Development,4262,4,No,LOW RISK
612,Research & Development,16184,3,No,MEDIUM RISK
613,Sales,11557,4,No,LOW RISK
614,Sales,1878,2,Yes,HIGH RISK
615,Sales,10932,1,No,MEDIUM RISK
616,Research & Development,6811,3,Yes,MEDIUM RISK
618,Sales,4306,3,No,MEDIUM RISK
620,Sales,4859,3,No,MEDIUM RISK
621,Sales,5337,4,No,MEDIUM RISK
622,Research & Development,2340,4,Yes,MEDIUM RISK
623,Research & Development,7491,4,No,LOW RISK
624,Research & Development,10527,3,No,MEDIUM RISK
625,Sales,16595,1,No,LOW RISK
626,Sales,8834,2,No,LOW RISK
630,Research & Development,5577,1,Yes,LOW RISK
631,Sales,4707,3,No,MEDIUM RISK
632,Sales,2400,4,No,MEDIUM RISK
634,Research & Development,9824,3,No,MEDIUM RISK
635,Research & Development,6447,2,No,LOW RISK
638,Research & Development,19502,3,Yes,MEDIUM RISK
639,Research & Development,2725,4,Yes,MEDIUM RISK
641,Sales,6272,2,No,MEDIUM RISK
643,Research & Development,2127,2,No,LOW RISK
644,Human Resources,18200,2,No,LOW RISK
645,Sales,2096,3,No,MEDIUM RISK
647,Research & Development,2886,3,Yes,MEDIUM RISK
648,Sales,2033,1,No,LOW RISK
649,Research & Development,3622,4,Yes,LOW RISK
650,Sales,4233,1,No,LOW RISK
652,Research & Development,3681,4,No,MEDIUM RISK
653,Sales,5460,4,No,LOW RISK
655,Research & Development,2187,3,No,MEDIUM RISK
656,Sales,9602,3,Yes,MEDIUM RISK
657,Research & Development,2836,2,No,LOW RISK
659,Research & Development,4089,4,No,LOW RISK
661,Research & Development,16627,4,Yes,LOW RISK
662,Research & Development,2619,1,No,LOW RISK
663,Research & Development,5679,3,Yes,MEDIUM RISK
664,Research & Development,15402,1,No,LOW RISK
665,Human Resources,5985,3,No,MEDIUM RISK
666,Sales,2579,3,Yes,MEDIUM RISK
667,Sales,3041,1,No,LOW RISK
669,Sales,3447,3,No,MEDIUM RISK
671,Research & Development,19513,4,Yes,LOW RISK
675,Research & Development,2773,3,No,MEDIUM RISK
677,Sales,7104,3,No,MEDIUM RISK
679,Research & Development,6322,4,Yes,LOW RISK
680,Research & Development,2083,3,No,MEDIUM RISK
682,Sales,8381,1,No,LOW RISK
683,Research & Development,2691,4,No,LOW RISK
684,Sales,4286,1,No,MEDIUM RISK
686,Research & Development,2659,4,Yes,LOW RISK
689,Research & Development,9434,3,No,MEDIUM RISK
690,Sales,5561,3,No,MEDIUM RISK
691,Research & Development,6646,4,No,LOW RISK
692,Research & Development,7725,4,No,LOW RISK
698,Human Resources,10725,2,No,LOW RISK
699,Research & Development,8847,2,Yes,LOW RISK
700,Research & Development,2045,4,No,LOW RISK
701,Research & Development,1009,3,Yes,MEDIUM RISK
702,Research & Development,3348,1,Yes,HIGH RISK
704,Research & Development,1281,3,No,MEDIUM RISK
705,Research & Development,2819,1,No,LOW RISK
707,Sales,4851,2,No,LOW RISK
709,Sales,4028,4,No,LOW RISK
710,Research & Development,2720,4,No,LOW RISK
712,Sales,8120,2,No,LOW RISK
714,Sales,4647,4,Yes,LOW RISK
715,Research & Development,4680,4,No,LOW RISK
716,Research & Development,3221,3,Yes,MEDIUM RISK
717,Research & Development,8621,2,No,LOW RISK
720,Sales,4577,3,No,MEDIUM RISK
721,Research & Development,4553,3,No,MEDIUM RISK
722,Sales,5396,4,No,LOW RISK
723,Sales,6796,3,Yes,MEDIUM RISK
724,Research & Development,7625,4,No,LOW RISK
725,Research & Development,7412,1,No,LOW RISK
727,Research & Development,11159,4,No,LOW RISK
728,Sales,4960,1,No,LOW RISK
729,Sales,10475,1,Yes,LOW RISK
730,Research & Development,14814,3,No,MEDIUM RISK
731,Human Resources,19141,4,No,LOW RISK
732,Sales,5405,1,No,LOW RISK
733,Research & Development,8793,1,No,LOW RISK
734,Human Resources,19189,3,No,MEDIUM RISK
738,Sales,3875,2,No,LOW RISK
741,Research & Development,2216,2,Yes,HIGH RISK
742,Research & Development,11713,1,No,LOW RISK
743,Research & Development,7861,3,Yes,MEDIUM RISK
744,Research & Development,3708,3,No,MEDIUM RISK
746,Sales,13770,3,Yes,MEDIUM RISK
747,Sales,5304,4,No,MEDIUM RISK
749,Sales,2642,3,No,MEDIUM RISK
752,Research & Development,2759,3,Yes,MEDIUM RISK
754,Sales,6804,4,No,LOW RISK
757,Research & Development,6142,3,No,MEDIUM RISK
758,Research & Development,2500,1,No,LOW RISK
760,Human Resources,6389,2,No,LOW RISK
762,Research & Development,11103,4,No,LOW RISK
763,Research & Development,2342,4,Yes,LOW RISK
764,Research & Development,6811,1,No,LOW RISK
766,Sales,2297,2,No,LOW RISK
769,Research & Development,2450,4,No,LOW RISK
771,Research & Development,5093,1,No,LOW RISK
772,Research & Development,5309,4,No,MEDIUM RISK
773,Research & Development,3057,3,Yes,MEDIUM RISK
775,Research & Development,5121,1,No,LOW RISK
776,Sales,16856,1,No,LOW RISK
780,Research & Development,2686,4,Yes,LOW RISK
781,Sales,6180,4,No,MEDIUM RISK
783,Sales,6632,3,No,MEDIUM RISK
784,Research & Development,3505,3,No,MEDIUM RISK
785,Sales,6397,3,Yes,MEDIUM RISK
786,Sales,6274,4,No,LOW RISK
787,Research & Development,19859,1,Yes,LOW RISK
789,Sales,7587,1,No,LOW RISK
791,Research & Development,4258,4,No,LOW RISK
792,Research & Development,4364,4,No,LOW RISK
793,Research & Development,4335,3,No,MEDIUM RISK
796,Sales,5326,1,No,LOW RISK
797,Research & Development,3280,4,No,LOW RISK
799,Research & Development,5485,1,Yes,LOW RISK
800,Sales,4342,4,No,LOW RISK
802,Research & Development,2782,1,Yes,HIGH RISK
803,Research & Development,5980,1,Yes,LOW RISK
804,Research & Development,4381,1,No,LOW RISK
805,Sales,2572,4,No,LOW RISK
806,Research & Development,3833,3,No,MEDIUM RISK
807,Research & Development,4244,2,No,LOW RISK
808,Sales,6500,1,No,LOW RISK
809,Research & Development,18430,4,No,LOW RISK
811,Research & Development,1601,1,Yes,HIGH RISK
812,Research & Development,2694,2,No,LOW RISK
813,Research & Development,3149,3,No,MEDIUM RISK
815,Research & Development,17639,3,No,MEDIUM RISK
816,Research & Development,2319,1,Yes,HIGH RISK
817,Research & Development,11691,3,No,MEDIUM RISK
819,Sales,5324,1,No,LOW RISK
820,Research & Development,16752,4,Yes,LOW RISK
823,Research & Development,5228,2,No,LOW RISK
824,Research & Development,2700,3,No,MEDIUM RISK
825,Research & Development,19246,2,Yes,LOW RISK
826,Research & Development,2506,3,No,MEDIUM RISK
827,Research & Development,6062,4,Yes,LOW RISK
828,Research & Development,4382,3,No,MEDIUM RISK
