Department,MonthlyIncome,predicted_attrition,risk_probability
Sales,18789,0,0.004869963
Research & Development,19038,0,0.016899958
Research & Development,8376,0,0.010783398
Sales,2174,1,0.8718691
Research & Development,5257,0,0.053500097
Research & Development,6132,0,0.010389652
Human Resources,2109,0,0.09362657
Research & Development,2909,0,0.23641528
Sales,2683,0,0.22215325
Sales,17650,0,0.0064695254
Research & Development,5488,0,0.041073024
Research & Development,8722,0,0.06890401
Sales,1200,1,0.85466677
Research & Development,10388,0,0.018682567
Research & Development,2821,0,0.009705461
Research & Development,2127,0,0.36338785
Research & Development,3681,0,0.09354396
Research & Development,16184,0,0.002611455
Research & Development,4107,0,0.021262733
Research & Development,8858,0,0.029641626
Research & Development,4377,0,0.016760891
Research & Development,2377,0,0.09791079
Research & Development,5295,0,0.017328508
Research & Development,5163,0,0.013154036
Research & Development,17181,0,0.017438693
Research & Development,3669,0,0.06865689
Research & Development,4420,0,0.033703793
Research & Development,2693,0,0.27729347
Research & Development,2061,0,0.43604398
Research & Development,10169,0,0.0048011853
Research & Development,2871,0,0.35172695
Research & Development,2700,0,0.004054765
Research & Development,2705,0,0.027089637
Research & Development,5957,0,0.018417558
Sales,4256,0,0.059175357
Research & Development,2479,0,0.07713735
Research & Development,3298,0,0.01751827
Research & Development,2426,0,0.06549938
Research & Development,4434,0,0.016314909
Research & Development,3730,0,0.10911249
Research & Development,4777,1,0.7104629
Sales,6201,0,0.030219276
Research & Development,5003,0,0.122094
Research & Development,2044,0,0.022169385
Sales,16015,0,0.008985199
Sales,9094,1,0.721799
Human Resources,2277,0,0.2695881
Sales,4465,0,0.021262947
Sales,4440,0,0.014444539
Research & Development,5762,0,0.0009477039
Research & Development,7510,0,0.10798701
Research & Development,8578,0,0.010947871
Sales,4001,0,0.0040642507
Sales,5390,0,0.025532966
Research & Development,3038,0,0.040512647
Research & Development,5399,0,0.011832624
Research & Development,2109,0,0.09035753
Research & Development,2810,0,0.079235926
Research & Development,5093,0,0.037276886
Research & Development,2853,0,0.15797734
Research & Development,7491,0,0.0035521968
Research & Development,2904,0,0.014653517
Sales,3447,0,0.079867
Research & Development,2942,0,0.017674027
Sales,10596,0,0.15297958
Research & Development,2404,1,0.8959213
Research & Development,2380,0,0.26509506
Sales,6272,0,0.023881258
Research & Development,19272,0,0.01630953
Research & Development,3211,0,0.090684965
Research & Development,5056,0,0.03251974
Research & Development,2439,0,0.021074386
Research & Development,9667,0,0.19514243
Research & Development,2341,0,0.23291725
Sales,9888,0,0.11604233
Research & Development,19740,0,0.00549594
Sales,8224,1,0.61013
Sales,2791,0,0.0522856
Human Resources,3539,0,0.0101613
Research & Development,5033,0,0.010718919
Sales,6134,0,0.22887404
Research & Development,2066,0,0.027556779
Research & Development,2115,0,0.006886389
